quotetext,character,author,year
"There is thought, and then there is thinking about thoughts, and they don't feel the same.",Susanna Kaysen,Susanna Kaysen,1993
Human life is but a series of footnotes to a vast obscure unfinished masterpiece.,,Vladimir Nabokov,1955
"He is taller by almost the breadth of my nail, than any of his court, which alone is enough to strike an awe into the beholders.",Gulliver,Jonathan Swift,1726
Harry — yer a wizard.,Hagrid,J.K. Rowling,1997
Be careful of love. It'll twist your brain around and leave you thinking up is down and right is wrong.,Hephaestus,Rick Riordan,2008
Do you want me to sing to you? I'll sing all night if it will keep the bad dreams away.,Edward Cullen,Stephenie Meyer,2008
"It’s a hard thing to leave any deeply routine life, even if you hate it.",,John Steinbeck,1952
"You want to remember that while you're judging the book, the book is also judging you.",,Stephen King,1978
Being human totally sucks most of the time.,,Ernest Cline,2011
When I look back on my childhood I wonder how I survived at all.,,Frank McCourt,1996
Even strength must bow to wisdom sometimes.,Annabeth Chase,Rick Riordan,2005
Do you believe in fairies? Say quick that you believe!,Peter Pan,J. M. Barrie,1911
"Everyone who keeps a secret, itches to tell it.",,Gillian Flynn,2009
"The good thing about being old, is you don’t have to worry about dying young.",,Stephen King,2013
"When the whole world is silent, even one voice becomes powerful.",,Malala Yousafzai,2013
"It was beyond comparison, the most beautiful sound he had ever heard.",,C.S. Lewis,1955
"Perhaps, somewhere, some day, at a less miserable time, we may see each other again.",,Vladimir Nabokov,1955
"Uncertain as I was as I pushed forward, I felt right in my pushing, as if the effort itself meant something.",Cheryl Strayed,Cheryl Strayed,2012
"Without pain, how could we know joy? The existence of broccoli does not affect the taste of chocolate.",Hazel Grace,John Green,2012
"When you've once said a thing, that fixes it, and you must take the consequences.",Red Queen,Lewis Carroll,1871
"His own enjoyment, or his own ease, was, in every particular, his ruling principle.",,Jane Austen,1811
"He could not forgive her, but he could not be unfeeling. Though condemning her for the past, and considering it with high and unjust resentment, though perfectly careless of her, and though becoming attached to another, still he could not see her suffer, without the desire of giving her relief. It was a remainder of former sentiment; it was an impulse of pure, though unacknowledged friendship; it was a proof of his own warm and amiable heart, which she could not contemplate without emotions so compounded of pleasure and pain, that she knew not which prevailed.",Narrator,Jane Austen,1818
"I smiled,—for what had I to fear?",,Edgar Allan Poe,1843
"I learned this, at least, by my experiment: that if one advances confidently in the direction of his dreams, and endeavors to live the life which he has imagined, he will meet with a success unexpected in common hours.",,Henry David Thoreau,1854
How many people can make you feel rare and pure and special? How many people can make you feel extraordinary?,,John Grogan,2005
We're all mad here. I'm mad. You're mad.,The Cat,Lewis Carroll,1865
I just want to spend every possible minute of the rest of my life with you.,Peeta,Suzanne Collins,2009
"That's the worst of growing up, and I'm beginning to realize it.",Anne Shirley,L.M. Montgomery,1908
Do your thing and don't care if they like it.,,Tina Fey,2011
"Anyone who ever gave you confidence, you owe them a lot.",,Truman Capote,1958
"See the world as it is, not as you wish it would be",,E. Lockhart,2014
I do not aim with my hand; he who aims with his hand has forgotten the face of his father. I aim with my eye.,Roland Deschain,Stephen King,1982
The words I'm sorry felt like an insult.,,Liane Moriarty,2013
"Well! I've often seen a cat without a grin, but a grin without a cat! It's the most curious thing I ever saw in my life!",Alice,Lewis Carroll,1865
"No, what's troubling is the gap between the magnitude of our challenges and the smallness of our politics.",,Barack Obama,2006
